branch,tensor,numel,mean_angular_step,final_cumulative_angular_step
constant,blocks.8.mlp.fc1.weight,147456,0.0036888502689876304,3.2277439853642136
constant,blocks.8.mlp.fc2.bias,192,0.004647508382065432,4.066569834307302
constant,blocks.8.mlp.fc2.weight,147456,0.00428895871141654,3.75283887248952
constant,blocks.9.attn.proj.bias,192,0.004565454532990974,3.994772716367152
constant,blocks.9.attn.proj.weight,36864,0.004114971166276978,3.6005997704924084
constant,blocks.9.attn.qkv.bias,576,0.0068913522980707615,6.029933260811959
constant,blocks.9.attn.qkv.weight,110592,0.004114063105911759,3.599805217672838
constant,blocks.9.mlp.fc1.bias,768,0.0031323919866366543,2.740842988307122
constant,blocks.9.mlp.fc1.weight,147456,0.003725087106493916,3.259451218182221
constant,blocks.9.mlp.fc2.bias,192,0.0043370198472402486,3.7948923663352616
constant,blocks.9.mlp.fc2.weight,147456,0.004331682733925273,3.79022239218466
constant,cls_token,192,0.002948588148158519,2.580014629638754
constant,patch_embed.proj.bias,192,0.0012702130950055504,1.1114364581299014
constant,patch_embed.proj.weight,36864,0.0032395895909783554,2.8346408921061084
constant,pos_embed,12480,0.001531020575934692,1.3396430039429106
cyclic,blocks.0.attn.proj.bias,192,0.0031651874505914204,2.7695390192675404
cyclic,blocks.0.attn.proj.weight,36864,0.004329151953038306,3.788007958908565
cyclic,blocks.0.attn.qkv.bias,576,0.0015554953066831253,1.3610583933477756
cyclic,blocks.0.attn.qkv.weight,110592,0.004649481971947684,4.068296725454275
cyclic,blocks.0.mlp.fc1.bias,768,0.004242600521604875,3.7122754564043134
cyclic,blocks.0.mlp.fc1.weight,147456,0.003771832689709382,3.3003536034957506
cyclic,blocks.0.mlp.fc2.bias,192,0.004479841178216519,3.919861030939501
cyclic,blocks.0.mlp.fc2.weight,147456,0.003782723746595057,3.3098832782707177
cyclic,blocks.1.attn.proj.bias,192,0.00511026762199716,4.47148416924756
cyclic,blocks.1.attn.proj.weight,36864,0.003688176513084027,3.227154448948568
cyclic,blocks.1.attn.qkv.bias,576,0.005670640787641867,4.961810689186677
cyclic,blocks.1.attn.qkv.weight,110592,0.004157015785940735,3.637388812698191
cyclic,blocks.1.mlp.fc1.bias,768,0.004475543947158591,3.916100953763817
cyclic,blocks.1.mlp.fc1.weight,147456,0.003908349820545692,3.419806092977524
cyclic,blocks.1.mlp.fc2.bias,192,0.005152602085777108,4.508526825055014
cyclic,blocks.1.mlp.fc2.weight,147456,0.004067612103253016,3.559160590346437
cyclic,blocks.10.attn.proj.bias,192,0.004361278961412554,3.816119091236033
cyclic,blocks.10.attn.proj.weight,36864,0.00398895622423978,3.490336696209852
cyclic,blocks.10.attn.qkv.bias,576,0.00586512418330775,5.131983660394326
cyclic,blocks.10.attn.qkv.weight,110592,0.0041105004347793735,3.5966878804320004
cyclic,blocks.10.mlp.fc1.bias,768,0.002862630997551557,2.5048021228576545
cyclic,blocks.10.mlp.fc1.weight,147456,0.003691387688674515,3.2299642275902443
cyclic,blocks.10.mlp.fc2.bias,192,0.004189748694521454,3.66603010770632
cyclic,blocks.10.mlp.fc2.weight,147456,0.004227230452799317,3.69882664619945
cyclic,blocks.11.attn.proj.bias,192,0.0042575942183445065,3.7253949410514906
cyclic,blocks.11.attn.proj.weight,36864,0.004094460069467921,3.582652560784481
cyclic,blocks.11.attn.qkv.bias,576,0.0050276799457413274,4.399219952523708
cyclic,blocks.11.attn.qkv.weight,110592,0.003984649297116007,3.486568134976551
cyclic,blocks.11.mlp.fc1.bias,768,0.002612404117194355,2.285853602545103
cyclic,blocks.11.mlp.fc1.weight,147456,0.0037018347434432954,3.2391054005129263
cyclic,blocks.11.mlp.fc2.bias,192,0.004088297114773999,3.577259975427296
cyclic,blocks.11.mlp.fc2.weight,147456,0.004177576257048917,3.6553792249178514
cyclic,blocks.2.attn.proj.bias,192,0.004264757228882131,3.731662575271912
